no	author_id	author_name	book_id	book_name	section_id	section_name	paragraph_no	layer_type_id	layer_type_name	content
0	archimedes	Archimedes	on-spirals	On Spirals	intro	Introduction	0	ELH	GRK	Ἀρχιμήδης Δοσιθέῳ χαίρειν
1	archimedes	Archimedes	on-spirals	On Spirals	intro	Introduction	1	ELH	GRK	Τῶν ποτὶ Κόνωνα ἀποσταλέντων θεωρημάτων, ὑπὲρ ὧν ἀεὶ τὰς ἀποδείξιας ἐπιστέλλεις μοι γράψαι, τῶν μὲν πλείστων ἐν τοῖς ὑπὸ Ἡρακλείδα κομισθέντεσσιν ἔχεις γεγραμμένας, τινὰς δὲ αὐτῶν καὶ ἐν τῷδε τῷ βιβλίῳ γράψας ἐπιστέλλω τοι. Μὴ θαυμάσῃς δὲ εἰ πλείονα χρόνον ποιήσαντες ἐκδίδομες τὰς ἀποδείξιας αὐτῶν· συμβαίνει γὰρ τοῦτο γεγενῆσθαι διὰ τὸ βούλεσθαί με πρότερον διδόμεν τοῖς περὶ τὰ μαθήματα πραγματευομένοις καὶ μαστεύειν αὐτὰ προαιρουμένοις. Πόσα γὰρ τῶν ἐν γεωμετρίᾳ θεωρημάτων οὐκ εὐμέθοδα ἐν ἀρχᾷ φανέντα χρόνῳ τὰν ἐξεργασίαν λαμβάνοντι<note n="1">만일 ‘λαμβάνοντι’가 ‘λαμβάνουσιν’의 Doric 형태(?)라면, “실은 기하학의 정리들 중, 처음에는 따라가기 어렵게 보였던 얼마나 많은것들이 시간이 지나 완전한 해결을 갖게 되는가?” (Cf.Heath 번역)</note>; Κόνων μὲν οὖν οὐχ ἱκανὸν λαβὼν ἐς τὰν μάστευσιν αὐτῶν χρόνον μετάλλαξεν τὸν βίον· ἢ δῆλα ἐποίησέν κα ταῦτα πάντα εὑρὼν καὶ ἄλλα πολλὰ ἐξευρὼν καὶ ἐπὶ τὸ πλεῖον προάγαγεν γεωμετρίαν· ἐπιστάμεθα γὰρ ὑπάρξασαν αὐτῷ σύνεσιν οὐ τὰν τυχοῦσαν περὶ τὸ μάθημα καὶ φιλοπονίαν ὑπερβάλλουσαν. Μετὰ δὲ τὰν Κόνωνος τελευτὰν πολλῶν ἐτέων ἐπιγεγενημένων οὐδ' ὑφ' ἑνὸς οὐδὲν τῶν προβλημάτων αἰσθανόμεθα κεκινημένον. Βούλομαι δὲ καθ' ἓν ἕκαστον αὐτῶν προενέγκασθαι· καὶ γὰρ συμβαίνει δύο τινὰ τῶν ἐν αὐτῷ μὴ κεχωρισμένα τέλος δὲ ποθεσόμενα,<note n="2">Netz’s emendation.Cf. (Heiberg 2<sup>nd</sup> ed): δύο τινὰ τῶν ἐμαυτῷμήπω πεπερασμένων διὰ τέλους ποτιτεθῆμεν: 나 자신이 아직 완전히 끝내지 못한 것들 중의 두 개가 덧붙여진 일이 [벌어지기 때문이데]</note> ὅπως οἱ φάμενοι μὲν πάντα εὑρίσκειν, ἀπόδειξιν δὲ αὐτῶν οὐδεμίαν ἐκφέροντες ἐλέγχωνται ποθωμολογηκότες εὑρίσκειν τὰ ἀδύνατα.
2	archimedes	Archimedes	on-spirals	On Spirals	intro	Introduction	2	ELH	GRK	Ταῦτα δὴ ποῖα τῶν προβλημάτων ἐντί, καὶ τίνων τὰς ἀποδείξιας ἔχεις ἀπεσταλμένας, καὶ ποίων ἐν τῷδε τῷ βιβλίῳ κομίζομες, δοκιμάζομες ἐμφανίξαι τοι.
3	archimedes	Archimedes	on-spirals	On Spirals	intro	Introduction	3	ELH	GRK	Πρῶτον δὴ τῶν προβλημάτων ἦν· σφαίρας δοθείσας ἐπίπεδον χωρίον εὑρεῖν ἴσον τᾷ ἐπιφανείᾳ τᾶς σφαίρας. Ὃ δὴ καὶ πρῶτον ἐγένετο φανερὸν ἐκδοθέντος τοῦ περὶ τὰν σφαῖραν βιβλίου· δειχθέντος γὰρ ὅτι πάσας σφαίρας ἁ ἐπιφάνεια τετραπλασία ἐστὶ τοῦ μεγίστου κύκλου τῶν ἐν τᾷ σφαίρᾳ δῆλον ὡς δυνατόν ἐστι χωρίον ἐπίπεδον εὑρεῖν ἴσον τᾷ ἐπιφανείᾳ τᾶς σφαίρας. Δεύτερον δέ· κώνου δοθέντος ἢ κυλίνδρου σφαῖραν εὑρεῖν ἴσαν τῷ κώνῳ ἢ τῷ κυλίνδρῳ. Τρίτον δέ· τὰν δοθεῖσαν σφαῖραν ἐπιπέδῳ τεμεῖν, ὥστε τὰ τμάματα αὐτᾶς ποτ' ἄλλαλα τὸν ταχθέντα λόγον ἔχειν. Τέταρτον δέ· τὰν δοθεῖσαν σφαῖραν ἐπιπέδῳ τεμεῖν, ὥστε τὰ τμάματα τᾶς ἐπιφανείας τὸν ταχθέντα λόγον ἔχειν ποτ' ἄλλαλα. Πέμπτον δέ· τὸ δοθὲν τμᾶμα σφαίρας τῷ δοθέντι τμάματι σφαίρας ὁμοιῶσαι. Ἕκτον δέ· δύο δοθέντων τμαμάτων σφαίρας εἴτε τᾶς αὐτᾶς εἴτε ἄλλας εὑρεῖν τι τμᾶμα σφαίρας, ὃ ἐσσεῖται αὐτὸ μὲν ὁμοῖον τῷ ἑτέρῳ τῶν τμαμάτων, τὰν δὲ ἐπιφάνειαν ἴσαν ἕξει τᾷ ἐπιφανείᾳ τοῦ ἑτέρου τμάματος. Ἕβδομον· ἀπὸ τᾶς δοθείσας σφαίρας τμᾶμα ἀποτεμεῖν ἐπιπέδῳ, ὥστε τὸ τμᾶμα ποτὶ τὸν κῶνον τὸν βάσιν ἔχοντα τὰν αὐτὰν τῷ τμάματι καὶ ὕψος ἴσον τὸν ταχθέντα λόγον ἔχειν μείζονα τοῦ ὃν ἔχει τὰ τρία ποτὶ τὰ δύο.
4	archimedes	Archimedes	on-spirals	On Spirals	intro	Introduction	4	ELH	GRK	Τούτων μὲν οὖν τῶν εἰρημένων πάντων τὰς ἀποδείξιας Ἡρακλείδας ἐκόμιξεν· τὸ δὲ μετὰ ταῦτα κεχωρισμένον ψεῦδος ἦν. Ἔστι δέ· εἴ κα σφαῖρα ἐπιπέδῳ τμαθῇ εἰς ἄνισα, τὸ μεῖζον τμᾶμα ποτὶ τὸ ἔλασσον διπλασίονα λόγον ἕξει ἢ ἁ μείζων ἐπιφάνεια ποτὶ τὰν ἐλάσσονα. Ὅτι δὲ τοῦτο ψεῦδός ἐστι, διὰ τῶν προαπεσταλμένων φανερόν ἐστι· κεχώρισται γὰρ ἐν αὐτοῖς τόδε· εἴ κα σφαῖρα ἐπιπέδῳ τμαθῇ εἰς ἄνισα ποτ' ὀρθὰς διαμέτρῳ τινὶ τῶν ἐν τᾷ σφαίρᾳ, τᾶς μὲν ἐπιφανείας τὸ μεῖζον τμᾶμα ποτὶ τὸ ἔλασσον τὸν αὐτὸν ἕξει λόγον, ὃν τὸ τμᾶμα τὸ μεῖζον τᾶς διαμέτρου ποτὶ τὸ ἔλασσον, τὸ δὲ μεῖζον τμᾶμα τᾶς σφαίρας ποτὶ τὸ ἔλασσον ἐλάσσονα μὲν ἢ διπλάσιον λόγον ἔχει τοῦ ὃν ἔχει ἁ μείζων ἐπιφάνεια ποτὶ τὰν ἐλάσσονα, μείζονα δὲ ἢ ἡμιόλιον.
5	archimedes	Archimedes	on-spirals	On Spirals	intro	Introduction	5	ELH	GRK	Ἦν δὲ καὶ τὸ ἔσχατον κεχωρισμένον τῶν προβλημάτων ψεῦδος, ὅτι, εἴ κα σφαίρας τινὸς ἁ διάμετρος τμαθῇ, ὥστε τὸ ἀπὸ τοῦ μείζονος τμάματος τετράγωνον τριπλάσιον εἶμεν τοῦ τετραγώνου τοῦ ἀπὸ τοῦ ἐλάσσονος τμάματος, καὶ διὰ τοῦ σαμείου ἐπίπεδον ἀχθὲν ποτ' ὀρθὰς τᾷ διαμέτρῳ τέμνῃ τὰν σφαῖραν, τὸ τοιοῦτον τῷ εἴδει σχῆμα, οἷόν ἐστι τὸ μεῖζον τᾶς σφαίρας τμᾶμα, μέγιστόν ἐστι τῶν ἄλλων τμαμάτων τῶν ἐχόντων ἴσαν τὰν ἐπιφάνειαν. Ὅτι δὲ τοῦτο ψεῦδός ἐστι δῆλον διὰ τῶν προαπεσταλμένων θεωρημάτων· δέδεικται γὰρ ὅτι τὸ ἡμισφαίριον μέγιστόν ἐστι τῶν περιεχομένων ὑπὸ ἴσας ἐπιφανείας σφαίρας τμαμάτων.
6	archimedes	Archimedes	on-spirals	On Spirals	intro	Introduction	6	ELH	GRK	Μετὰ δὲ ταῦτα περὶ τοῦ κώνου προβεβλημένα ἐστὶ τάδε· εἴ κα ὀρθογωνίου κώνου τομὰ μενούσας τᾶς διαμέτρου περιενεχθῆ ὥστε εἶμεν ἄξονα τὰν διάμετρον, τὸ περιγραφὲν σχῆμα ὑπὸ τᾶς τοῦ ὀρθογωνίου κώνου τομᾶς κωνοειδὲς καλείσθω, καὶ εἴ κα τοῦ κωνοειδέος σχήματος ἐπίπεδον ἐπιψαύῃ, παρὰ δὲ τὸ ἐπιψαῦον ἐπίπεδον ἄλλο ἐπίπεδον ἀχθὲν ἀποτέμνῃ τι τμᾶμα τοῦ κωνοειδέος, τοῦ ἀποτμαθέντος τμάματος βάσις μὲν καλείσθω τὸ ἀποτέμνον ἐπίπεδον, κορυφὰ δὲ τὸ σαμεῖον, καθ' ὃ ἐπιψαύει τὸ ἕτερον ἐπίπεδον τοῦ κωνοειδέος. Εἰ δή κα τὸ εἰρημένον σχῆμα ἐπιπέδῳ τμαθῇ ποτ' ὀρθὰς τῷ ἄξονι, ὅτι μὲν ἁ τομὰ κύκλος ἐσσεῖται δῆλον, ὅτι δὲ τὸ ἀποτμαθὲν τμᾶμα ἡμιόλιον ἐσσεῖται τοῦ κώνου τοῦ βάσιν ἔχοντος τὰν αὐτὰν τῷ τμάματι καὶ ὕψος ἴσον, δεῖξαι δεῖ. Καὶ εἴ κα τοῦ κωνοειδέος δύο τμάματα ἀποτμαθέωντι ἐπιπέδοις ὁπωσοῦν ἀγμένοις, ὅτι μὲν οὖν αἱ τομαὶ ἐσσοῦνται ὀξυγωνίων κώνων τομαὶ δῆλον, εἴ κα τὰ ἀποτέμνοντα ἐπίπεδα μὴ ὀρθὰ ἔωντι ποτὶ τὸν ἄξονα, ὅτι δὲ τὰ τμάματα ποτ' ἄλλαλα τοῦτον ἑξοῦντι τὸν λόγον, ὃν ἔχοντι δυνάμει ποτ' ἀλλάλας αἱ ἀπὸ τᾶν κορυφᾶν αὐτῶν ἀγμέναι παρὰ τὸν ἄξονα μέχρι ἐπὶ τὰ ἐπίπεδα τὰ τέμνοντα, δεῖξαι δεῖ· τούτων δ' αἱ ἀποδείξιες οὔπω τοι ἀποστέλλονται.
7	archimedes	Archimedes	on-spirals	On Spirals	intro	Introduction	7	ELH	GRK	Μετὰ δὲ ταῦτα περὶ τᾶς ἕλικος ἦν προβεβλημένα ταῦτα· ἐντὶ δ' ὥσπερ ἄλλο τι γένος προβλημάτων οὐδὲν ἐπικοινωνέοντα τοῖς προειρημένοις· ὑπὲρ ὧν ἐν τῷδε τῷ βιβλίῳ τὰς ἀποδείξιας γεγραφήκαμές τοι. Ἔστιν δὲ τάδε· εἴ κα εὐθεῖα γραμμὰ ἐν ἐπιπέδῳ μένοντος τοῦ ἑτέρου πέρατος ἰσοταχέως περιενεχθεῖσα ἀποκατασταθῇ πάλιν ὅθεν ὥρμασεν, ἅμα δὲ τᾷ γραμμᾷ περιφερομένᾳ φέρηταί τι σαμεῖον ἰσοταχέως αὐτὸ ἑαυτῷ κατὰ τᾶς εὐθείας ἀρξάμενον ἀπὸ τοῦ μένοντος πέρατος, τὸ σαμεῖον ἕλικα γράψει ἐν τῷ ἐπιπέδῳ.
8	archimedes	Archimedes	on-spirals	On Spirals	intro	Introduction	8	ELH	GRK	Φαμὶ δὴ τὸ περιλαφθὲν χωρίον ὑπό τε τᾶς ἕλικος καὶ τᾶς εὐθείας τᾶς ἀποκατασταθείσας ὅθεν ὥρμασεν τρίτον μέρος εἶμεν τοῦ κύκλου τοῦ γραφέντος κέντρῳ μὲν τῷ μένοντι σαμείῳ, διαστήματι δὲ τᾷ εὐθείᾳ τᾷ διανυσθείσᾳ ὑπὸ τοῦ σαμείου ἐν τᾷ μιᾷ περιφορᾷ τᾶς εὐθείας.
9	archimedes	Archimedes	on-spirals	On Spirals	intro	Introduction	9	ELH	GRK	Καὶ εἴ κα τᾶς ἕλικος ἐπιψαύῃ τις εὐθεῖα κατὰ τὸ πέρας τᾶς ἕλικος τὸ ἔσχατον γενόμενον, ἄλλα δέ τις εὐθεῖα τᾷ περιαχθείσᾳ καὶ ἀποκατασταθείσᾳ γραμμᾷ ποτ' ὀρθὰς ἀχθῇ ἀπὸ τοῦ μένοντος πέρατος αὐτᾶς ὥστε ἐμπεσεῖν τᾷ ἐπιψαυούσᾳ, φαμὶ τὰν ποταχθεῖσαν εὐθεῖαν ἴσαν εἶμεν τᾷ τοῦ κύκλου περιφερείᾳ.
